index,sourceInternalId,sourceFile,sha256,phash,width,height,aspectRatio,format,mime,colorMode,hasAlpha,alphaBounds,fileSize,rgbaDecodedBytes,transparentPaddingRatio,exactDuplicateOf,nearDuplicateGroup,category,semanticName,confidence,usedOnScreens,bakedText,nineSliceCandidate,notes
214,9dede4c77553cb20489fce8bf0e8e3d7b3525e2c,analysis/figma/raw/images/9dede4c77553cb20489fce8bf0e8e3d7b3525e2c,fd8d59b382f3b3c3f933f17b7a7dd18fb7b536d12eb2142d33ff72125be4179d,ab929694d18f8e71,2172,724,3.0,PNG,image/png,RGB,False,"{""x"": 0, ""y"": 0, ""w"": 2172, ""h"": 724}",1614341,6290112,0.0,,"[""NEAR-103""]",branding,branding_welcome_text__2172x724_variant2,0.95,"[""SCREEN-001""]",YES,False,
215,9ebda7e54059edd527fc1bfc703f79dad100f93e,analysis/figma/raw/images/9ebda7e54059edd527fc1bfc703f79dad100f93e,9553922b344bb1e1fec72bb3ee2d4b02119b7ccc139802785432780b4e04e391,efc4b043f92fc221,471,629,0.748808,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 471, ""h"": 629}",430770,1185036,0.0,,"[""NEAR-138""]",relic,relic_frost_dragon_head__471x629,0.95,"[""SCREEN-005""]",NO_VISIBLE_TEXT,False,
216,9f215f72f221b6819ef74209b82cb5c1c8e15a41,analysis/figma/raw/images/9f215f72f221b6819ef74209b82cb5c1c8e15a41,2fe40c38cd7f176d17436a694a5d8b215ccf64fcd87b63f8f0c613cdb1766f6f,c1bc26643e8b3e63,272,91,2.989011,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 272, ""h"": 91}",66399,99008,0.0,,"[""NEAR-139""]",background,background_dungeon_crocodile_strip__272x91,0.85,[],NO_VISIBLE_TEXT,False,
217,9fe0e969554eedc1f254711edba06ac797a392a2,analysis/figma/raw/images/9fe0e969554eedc1f254711edba06ac797a392a2,1d0e6293a99e923529b0431244a254b6c01eae3eb3d287ec896549be262d06c2,bcc3491b97c4532b,444,460,0.965217,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 444, ""h"": 460}",360553,816960,0.0,,"[""NEAR-051""]",ui,ui_wheel_reward_illustration__444x460,0.85,[],NO_VISIBLE_TEXT,False,
218,a04bf9621c7f811d0151555310b2d579ced170f5,analysis/figma/raw/images/a04bf9621c7f811d0151555310b2d579ced170f5,35ce6fbac7568880d998af2b41d5f409a4fe2ef013c26fd9e591b1fb1f8b4021,ffd4aad0aad0a8c1,395,395,1.0,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 395, ""h"": 395}",206954,624100,0.0,,"[""NEAR-012""]",ui,ui_button_red_square__395x395,0.85,[],NO_VISIBLE_TEXT,True,
219,a0db91f0ccb8af63ed5624c6dbb0308322fa761c,analysis/figma/raw/images/a0db91f0ccb8af63ed5624c6dbb0308322fa761c,1cb0b8528546ae1efae6207a6380cfcc37503fa9434806de621928d5b635e943,9791c0777f6a3320,491,628,0.781847,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 491, ""h"": 628}",379683,1233392,0.0,,"[""NEAR-134""]",equipment,equipment_lion_knight_helmet__491x628,0.95,[],NO_VISIBLE_TEXT,False,
220,a0fda84647f252f9edff32fb5c67d0032b846319,analysis/figma/raw/images/a0fda84647f252f9edff32fb5c67d0032b846319,3423c6d056774059983d6e751177da0ad0199cbeb36866dbe325bd5c84d61ceb,94eb68b86bd03e92,213,462,0.461039,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 213, ""h"": 462}",276276,393624,0.0,,"[""NEAR-052""]",reference,reference_screen_equipment__213x462,0.85,[],YES,False,
221,a192ae07b93e6226feab1e230c9e924ca1f06cd0,analysis/figma/raw/images/a192ae07b93e6226feab1e230c9e924ca1f06cd0,261569fd2871fc203b4a61b14c47885faf701085888519ca0ebf938c74d3e8a6,b9d4cd61323ca65a,427,444,0.961712,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 427, ""h"": 444}",259943,758352,0.0,,"[""NEAR-140""]",hero,hero_panda_monk__427x444,0.85,[],NO_VISIBLE_TEXT,False,
222,a1f74786b99af092f75c99c17ed49d98da9b6d7e,analysis/figma/raw/images/a1f74786b99af092f75c99c17ed49d98da9b6d7e,f312dde3683ec7ab1ce9def13088acc093bba17f6ab2760ba0f2ef01eeb67318,ffd594809485d4d5,3876,605,6.406612,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 3876, ""h"": 605}",1549193,9379920,0.0,,"[""NEAR-124""]",ui,ui_banner_stage_blue__3876x605,0.95,"[""SCREEN-006""]",NO_VISIBLE_TEXT,False,
223,a356d3d3524680b6cb33a00680be441e7b89ef9b,analysis/figma/raw/images/a356d3d3524680b6cb33a00680be441e7b89ef9b,f301b6aa75022e277ba8c3c60b35898de650c949b061c7266481edb22702c451,dac82f0f78b4cc07,226,272,0.830882,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 226, ""h"": 272}",102004,245888,0.0,,"[""NEAR-022""]",equipment,equipment_fox_sorcerer_ring__226x272,0.85,[],NO_VISIBLE_TEXT,False,
224,a38f01991256368e852469e9bb54e5105d0707a9,analysis/figma/raw/images/a38f01991256368e852469e9bb54e5105d0707a9,ff94cd486f51ec02d99911341d145c24d7edceb40acc48b3c1a601fb7897c980,e8869277cbca9833,1895,1429,1.326102,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 1895, ""h"": 1429}",2284755,10831820,0.0,,"[""NEAR-014""]",enemy,enemy_swamp_crocodile__1895x1429,0.95,[],NO_VISIBLE_TEXT,False,
225,a51232156df7dca8f5390a744ae6b992e5886be9,analysis/figma/raw/images/a51232156df7dca8f5390a744ae6b992e5886be9,40679d9916de66ae0ea80bb64ba4ed49dcce918843df15e566d94d3936e918a1,ee6a8931b234c4cf,261,262,0.996183,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 261, ""h"": 262}",114113,273528,0.0,,"[""NEAR-115""]",equipment,equipment_inferno_dragon_robe__261x262,0.85,[],NO_VISIBLE_TEXT,False,
226,a61c6732dfa030bd0337ac9a2d5644d8d89ee6dc,analysis/figma/raw/images/a61c6732dfa030bd0337ac9a2d5644d8d89ee6dc,0cb3346bd47d219125c0dd1275a9a420892cf4c66cf0508dc865a7862aa8126c,cc64ce139b1974d9,499,469,1.063966,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 499, ""h"": 469}",300807,936124,0.0,,,equipment,equipment_owl_mage_ring_orb__499x469,0.95,[],NO_VISIBLE_TEXT,False,
227,a626da99d963c34d6e8dfe41dd94a38f42ea2bc0,analysis/figma/raw/images/a626da99d963c34d6e8dfe41dd94a38f42ea2bc0,4cdf6430a40cbb765473e1f5d53a7326ae28dbbc131faf130682a445382bc5d6,cb9cb4663bc32266,224,318,0.704403,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 224, ""h"": 318}",129902,284928,0.0,,"[""NEAR-033""]",relic,relic_fire_crystal__224x318,0.85,[],NO_VISIBLE_TEXT,False,
228,a659f48c34ea336dd6824d192f1b8a06c7f158cb,analysis/figma/raw/images/a659f48c34ea336dd6824d192f1b8a06c7f158cb,5984dd98a0492c67b9b43cd560659b436a6638b9c2e3508e6089382a57f870bd,b7e08d98b226e98d,314,392,0.80102,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 314, ""h"": 392}",83125,492352,0.0,,"[""NEAR-066""]",equipment,equipment_inferno_dragon_spear__314x392,0.85,[],NO_VISIBLE_TEXT,False,
229,a700463306d06b0a5ebe99e8fd7732effdf23e1a,analysis/figma/raw/images/a700463306d06b0a5ebe99e8fd7732effdf23e1a,f6e716a25f79948c9e8172ae1d8e2bbbd7dd92d4f4aa222ec13617c0a66d7dd4,eec6801bd2f19965,362,272,1.330882,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 362, ""h"": 272}",200492,393856,0.0,,"[""NEAR-019""]",branding,branding_logo__362x272_variant2,0.85,[],YES,False,
230,a7c0d5934d543c424ba34af5454291998cd42fb1,analysis/figma/raw/images/a7c0d5934d543c424ba34af5454291998cd42fb1,b268029c7825d015c114c6ead638b02079cc1d7ebc4ca5c100c0d82de314bd95,caf46a37b3491c1c,243,375,0.648,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 243, ""h"": 375}",92673,364500,0.0,,"[""NEAR-141""]",equipment,equipment_lion_knight_sword__243x375,0.85,[],NO_VISIBLE_TEXT,False,
231,a84946304b6fa220e60816032915bcf106cca10f,analysis/figma/raw/images/a84946304b6fa220e60816032915bcf106cca10f,b6bf6522834ca3197497149f45f9397d21fae2b1e80fbaeb5bcc70ca6844c4d2,d8e92e4a6bb053e4,660,590,1.118644,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 660, ""h"": 590}",612494,1557600,0.0,,"[""NEAR-142""]",portrait,portrait_ice_fairy__660x590,0.95,"[""SCREEN-004""]",NO_VISIBLE_TEXT,False,
232,aad6bcff54dc8785395e8211f76f92d08719e05b,analysis/figma/raw/images/aad6bcff54dc8785395e8211f76f92d08719e05b,bb244b9c3d02a71bd76b62238957e20ec7768b89a9ba8ae5217d35af685acbf6,d1f6842b1ef80de4,418,236,1.771186,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 418, ""h"": 236}",294487,394592,0.0,,"[""NEAR-080""]",branding,branding_banner__418x236,0.85,[],YES,False,
233,aaf5520732eaab6b4c39eab5eb81000a747b5e92,analysis/figma/raw/images/aaf5520732eaab6b4c39eab5eb81000a747b5e92,6dcb01f1a328854ff9022e006d34e1f0b8e094968c21c9465d0d32d7855be975,ea94c97ab3cd4419,350,294,1.190476,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 350, ""h"": 294}",113243,411600,0.0,,"[""NEAR-143""]",equipment,equipment_bunny_assassin_crescent_axes__350x294,0.85,[],NO_VISIBLE_TEXT,False,
234,ad1a7ca03365f40fe383d93f8dae66bd92bf2935,analysis/figma/raw/images/ad1a7ca03365f40fe383d93f8dae66bd92bf2935,06571d0c9631c9f378a2d9a32047f2ad80194a306f69128cd44ed774d3a25d46,d5973ed43ad41a90,318,170,1.870588,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 318, ""h"": 170}",51953,216240,0.0,,"[""NEAR-118""]",ui,ui_button_orange__318x170,0.85,[],NO_VISIBLE_TEXT,True,
235,ae3fad983d1da3a5633348e3f3da0d24d85e4640,analysis/figma/raw/images/ae3fad983d1da3a5633348e3f3da0d24d85e4640,249e50b473a57a60823a0d0904f5cdd578210f9b26fd26fe9bd90f1fcc921cec,eec8b131262fc2d6,619,555,1.115315,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 619, ""h"": 555}",426943,1374180,0.0,,"[""NEAR-144""]",equipment,equipment_panda_monk_chest__619x555,0.95,[],NO_VISIBLE_TEXT,False,
